Employee_ID,Employee_Name,Manager,Department,Base_Salary,Bonus,Penalty,Month
E001,Employee_1,Manager_B,Operations,29672904,4117307,939890,2026-03
E002,Employee_2,Manager_A,Sales,17872907,1858885,848090,2026-03
E003,Employee_3,Manager_B,Finance,27513767,3095567,992499,2026-03
E004,Employee_4,Manager_C,Operations,26467972,2774878,737800,2026-03
E005,Employee_5,Manager_D,Finance,18288560,2108926,483473,2026-03
E006,Employee_6,Manager_A,HR,18588032,1002897,1557934,2026-03
E007,Employee_7,Manager_B,HR,15260663,4061752,579861,2026-03
E008,Employee_8,Manager_C,Sales,14513505,2485095,477066,2026-03
E009,Employee_9,Manager_C,HR,18142417,118685,1484822,2026-03
E010,Employee_10,Manager_B,Finance,9527253,457397,1160477,2026-03
E011,Employee_11,Manager_C,HR,29403353,4117788,215141,2026-03
E012,Employee_12,Manager_A,Finance,23750347,4015745,923730,2026-03
E013,Employee_13,Manager_C,HR,9723916,2117942,1973553,2026-03
E014,Employee_14,Manager_D,Sales,10192561,3361377,1031267,2026-03
E015,Employee_15,Manager_A,Sales,13091113,1251560,1701088,2026-03
E016,Employee_16,Manager_C,Sales,16327906,993643,1170363,2026-03
E017,Employee_17,Manager_D,HR,25534624,3190842,944797,2026-03
E018,Employee_18,Manager_D,Finance,27747626,3597285,640428,2026-03
E019,Employee_19,Manager_A,Sales,14972205,1770207,555003,2026-03
E020,Employee_20,Manager_A,HR,16048539,1458053,1157611,2026-03
E021,Employee_21,Manager_A,HR,8089782,3426893,944774,2026-03
E022,Employee_22,Manager_D,Finance,9095211,1941763,604199,2026-03
E023,Employee_23,Manager_C,Operations,10388396,1958100,1937581,2026-03
E024,Employee_24,Manager_C,HR,22265296,962813,1142030,2026-03
E025,Employee_25,Manager_B,HR,16913146,1193164,149757,2026-03
E026,Employee_26,Manager_A,HR,18321739,4991591,1570678,2026-03
E027,Employee_27,Manager_C,Operations,12172616,3931723,1444262,2026-03
E028,Employee_28,Manager_C,Operations,17135066,4198264,1132423,2026-03
E029,Employee_29,Manager_D,Operations,10699180,334376,1865254,2026-03
E030,Employee_30,Manager_D,Finance,28257268,2100238,54242,2026-03
E031,Employee_31,Manager_A,HR,27300479,4925144,1993943,2026-03
E032,Employee_32,Manager_A,Finance,27335640,337487,1600355,2026-03
E033,Employee_33,Manager_B,Operations,25413536,3709689,1921143,2026-03
E034,Employee_34,Manager_C,HR,27640403,3656468,1331240,2026-03
E035,Employee_35,Manager_D,Sales,23770931,2918908,856368,2026-03
E036,Employee_36,Manager_C,Finance,11509789,1349096,691648,2026-03
E037,Employee_37,Manager_D,Operations,17670984,3359236,1706171,2026-03
E038,Employee_38,Manager_A,Operations,10954796,2638361,529318,2026-03
E039,Employee_39,Manager_C,Sales,21561864,4316746,1729997,2026-03
E040,Employee_40,Manager_A,Operations,21866287,454696,393389,2026-03
E041,Employee_41,Manager_C,Operations,28985235,3708108,1593815,2026-03
E042,Employee_42,Manager_A,HR,16960920,4607188,274754,2026-03
E043,Employee_43,Manager_C,Operations,24264229,1018595,60543,2026-03
E044,Employee_44,Manager_B,HR,18427044,4620772,28677,2026-03
E045,Employee_45,Manager_D,Sales,15539702,951780,967726,2026-03
E046,Employee_46,Manager_A,HR,24722706,2448312,1067181,2026-03
E047,Employee_47,Manager_C,Operations,24189999,3961266,511140,2026-03
E048,Employee_48,Manager_D,HR,20871010,1598955,1933297,2026-03
E049,Employee_49,Manager_B,Sales,17269324,3480789,712770,2026-03
E050,Employee_50,Manager_C,Sales,17490501,2504467,1756314,2026-03
E051,Employee_51,Manager_D,HR,22983644,4517941,1015737,2026-03
E052,Employee_52,Manager_C,Finance,26519275,4558621,791066,2026-03
E053,Employee_53,Manager_D,Finance,14330123,2003246,1199146,2026-03
E054,Employee_54,Manager_D,HR,21783325,366140,667264,2026-03
E055,Employee_55,Manager_D,Operations,20954653,1275951,1038779,2026-03
E056,Employee_56,Manager_A,HR,24854094,4950792,696243,2026-03
E057,Employee_57,Manager_A,Operations,11345769,4411997,1909334,2026-03
E058,Employee_58,Manager_D,Sales,12837053,3439149,1826478,2026-03
E059,Employee_59,Manager_B,Sales,23753490,2223172,710014,2026-03
E060,Employee_60,Manager_D,Sales,19024831,4476348,796937,2026-03
E061,Employee_61,Manager_C,Operations,26153485,301143,1294906,2026-03
E062,Employee_62,Manager_A,HR,29178249,2410709,477073,2026-03
E063,Employee_63,Manager_A,Operations,11303203,843115,930461,2026-03
E064,Employee_64,Manager_B,Finance,8971308,385800,680262,2026-03
E065,Employee_65,Manager_A,Finance,20028033,3144394,903215,2026-03
E066,Employee_66,Manager_B,HR,25822984,3456540,1186837,2026-03
E067,Employee_67,Manager_B,HR,13874352,662434,1278196,2026-03
E068,Employee_68,Manager_D,HR,24698941,4891876,300139,2026-03
E069,Employee_69,Manager_B,Operations,29404527,2130516,963789,2026-03
E070,Employee_70,Manager_C,Sales,23611308,2412829,1421053,2026-03
E071,Employee_71,Manager_B,Sales,22821991,2898814,1232227,2026-03
E072,Employee_72,Manager_C,Operations,16391903,3832216,1772730,2026-03
E073,Employee_73,Manager_C,HR,20908163,4053443,223668,2026-03
E074,Employee_74,Manager_B,Operations,27190541,3011167,1205467,2026-03
E075,Employee_75,Manager_C,Finance,8736170,3320259,575627,2026-03
E076,Employee_76,Manager_A,Sales,28347625,4166850,1746589,2026-03
E077,Employee_77,Manager_C,HR,28369721,2955482,459285,2026-03
E078,Employee_78,Manager_B,Finance,12589549,815070,1894574,2026-03
E079,Employee_79,Manager_A,Finance,22791571,279881,1215454,2026-03
E080,Employee_80,Manager_C,HR,11024374,2475565,685179,2026-03
E081,Employee_81,Manager_D,HR,14737555,1108636,1649436,2026-03
E082,Employee_82,Manager_C,Finance,13521194,2155621,1916899,2026-03
E083,Employee_83,Manager_D,Finance,19365397,966113,982162,2026-03
E084,Employee_84,Manager_A,HR,15570372,3333729,1773654,2026-03
E085,Employee_85,Manager_C,Sales,21239725,116758,554609,2026-03
E086,Employee_86,Manager_A,Operations,20367682,2199169,1225911,2026-03
E087,Employee_87,Manager_D,Finance,11635491,1961440,988758,2026-03
E088,Employee_88,Manager_A,Finance,28470961,1856962,1358225,2026-03
E089,Employee_89,Manager_A,Operations,18139819,3425033,244687,2026-03
E090,Employee_90,Manager_B,Sales,9248631,2553195,1033108,2026-03
E091,Employee_91,Manager_A,Sales,15878581,4509267,284508,2026-03
E092,Employee_92,Manager_D,Operations,20449080,4531463,878972,2026-03
E093,Employee_93,Manager_B,Operations,29975532,830653,1748381,2026-03
E094,Employee_94,Manager_D,Operations,17386521,274444,1447623,2026-03
E095,Employee_95,Manager_C,HR,22877467,3730379,1993458,2026-03
E096,Employee_96,Manager_B,Finance,11333787,3081428,1141827,2026-03
E097,Employee_97,Manager_C,Sales,21359349,2314261,398057,2026-03
E098,Employee_98,Manager_A,Operations,11076049,1779272,1345751,2026-03
E099,Employee_99,Manager_A,Sales,19190710,2043203,264081,2026-03
E100,Employee_100,Manager_B,Sales,26596127,1737761,1229734,2026-03
E101,Employee_101,Manager_B,HR,19024629,1237774,1653905,2026-03
E102,Employee_102,Manager_A,Finance,12854922,1090453,1132913,2026-03
E103,Employee_103,Manager_C,HR,11688516,216259,276411,2026-03
E104,Employee_104,Manager_A,Finance,15983659,4939656,678997,2026-03
E105,Employee_105,Manager_A,HR,16904256,439554,265831,2026-03
E106,Employee_106,Manager_D,Sales,10132653,3995040,940101,2026-03
E107,Employee_107,Manager_C,Sales,23166785,4226505,464623,2026-03
E108,Employee_108,Manager_A,Finance,23369356,261310,127560,2026-03
E109,Employee_109,Manager_D,Operations,22303369,905649,1028168,2026-03
E110,Employee_110,Manager_D,Sales,10710878,2702069,1275692,2026-03
E111,Employee_111,Manager_B,Sales,12234287,2307001,1309288,2026-03
E112,Employee_112,Manager_C,Operations,28045144,4450633,618445,2026-03
E113,Employee_113,Manager_D,Operations,11327876,959774,1788435,2026-03
E114,Employee_114,Manager_B,Operations,23151668,1916743,867829,2026-03
E115,Employee_115,Manager_C,Operations,21379164,3489574,1530108,2026-03
E116,Employee_116,Manager_A,Finance,22319823,2621637,1394832,2026-03
E117,Employee_117,Manager_C,Finance,13121712,3978447,140788,2026-03
E118,Employee_118,Manager_A,Sales,11128283,3622842,202510,2026-03
E119,Employee_119,Manager_C,HR,26668704,503156,1229906,2026-03
E120,Employee_120,Manager_C,Sales,21784450,2966195,1832087,2026-03
E121,Employee_121,Manager_D,Sales,17651241,2621011,737455,2026-03
E122,Employee_122,Manager_A,HR,13191883,4044897,470275,2026-03
E123,Employee_123,Manager_A,Finance,26665172,3083325,240931,2026-03
E124,Employee_124,Manager_C,HR,22398623,4705721,1609422,2026-03
E125,Employee_125,Manager_A,Finance,8971507,1513439,573089,2026-03
E126,Employee_126,Manager_C,Finance,19778391,51219,380435,2026-03
E127,Employee_127,Manager_B,Operations,10334899,1190130,1553924,2026-03
E128,Employee_128,Manager_A,Sales,25800045,1804665,788936,2026-03
E129,Employee_129,Manager_D,Operations,19438571,1320444,776057,2026-03
E130,Employee_130,Manager_C,Finance,27045279,712671,1852502,2026-03
E131,Employee_131,Manager_A,HR,13281799,417438,1413414,2026-03
E132,Employee_132,Manager_A,Finance,22868404,3556893,1018506,2026-03
E133,Employee_133,Manager_D,Operations,17165958,1808323,1583230,2026-03
E134,Employee_134,Manager_A,Finance,22425507,930210,594010,2026-03
E135,Employee_135,Manager_D,Finance,9523953,1849842,828927,2026-03
E136,Employee_136,Manager_A,Sales,14859301,2528488,1982488,2026-03
E137,Employee_137,Manager_B,HR,16573811,2428058,688122,2026-03
E138,Employee_138,Manager_A,Sales,24689482,3612596,368458,2026-03
E139,Employee_139,Manager_B,Operations,25870498,1930308,1049126,2026-03
E140,Employee_140,Manager_C,Sales,21323497,354857,914818,2026-03
E141,Employee_141,Manager_A,Operations,10612635,2626142,1207454,2026-03
E142,Employee_142,Manager_D,Operations,29479590,3503870,607157,2026-03
E143,Employee_143,Manager_A,Operations,8699829,2724352,360444,2026-03
E144,Employee_144,Manager_D,Finance,10957148,3663403,1771012,2026-03
E145,Employee_145,Manager_A,HR,22618878,4939810,839804,2026-03
E146,Employee_146,Manager_A,Operations,18411086,2848043,464670,2026-03
E147,Employee_147,Manager_C,HR,10562866,4282244,1327968,2026-03
E148,Employee_148,Manager_A,HR,19723088,2945238,1525424,2026-03
E149,Employee_149,Manager_B,HR,11449547,1228463,536804,2026-03
E150,Employee_150,Manager_B,HR,28213155,1282364,1594287,2026-03
E151,Employee_151,Manager_A,HR,29070464,4144954,972980,2026-03
E152,Employee_152,Manager_D,Finance,29045923,2651965,316580,2026-03
